x1,x2,x3,x4
0.9631869502538488,0.9631869502538488,0.9631869502538488,0.9631869502538488
0.4115307185761624,0.3006775477832639,0.3006775477832639,0.3006775477832639
0.2057883432958837,0.21180882506735657,0.2050131370766181,0.2050131370766181
0.1158711215088247,0.1544144276751286,0.16007342030711813,0.16007342030711813
0.07002070034323192,0.10766565735948441,0.11489396721664513,0.11489396721664513
0.04404708025788127,0.07160747256767412,0.07307862106026689,0.07307862106026689
0.028409946696701983,0.04518641333608126,0.041855583230717044,0.041855583230717044
0.01865222444413693,0.02688295532044457,0.02283890855417233,0.02283890855417233
0.012417378254054548,0.015226307896110463,0.012780040693795432,0.012780040693795432
0.008362342369959315,0.008647278205713902,0.00725687602929293,0.00725687602929293
0.005686708953275268,0.0052726534332236,0.003926520230035106,0.003926520230035106
0.0038994584225079294,0.0033517525670487564,0.00221440419451399,0.00221440419451399
0.0026929013641969653,0.002049090542794023,0.0015467230473311315,0.0015467230473311315
0.0018708597269432511,0.0012932174597931887,0.0011087008214974677,0.0011087008214974677
0.0013063533808866708,0.0010368392104680942,0.000680009865256858,0.000680009865256858
0.0009160747597048861,0.0009087367929860055,0.00036377231229202557,0.00036377231229202557
0.0006447000268511712,0.0007017959602077443,0.00021481223090746452,0.00021481223090746452
0.0004550875311908207,0.0004507715261552175,0.0001508186012619896,0.0001508186012619896
0.00032206152420966255,0.00024961918301654194,9.613452026480071e-5,9.613452026480071e-5
0.00022841347240400942,0.00016543274321217707,5.346687974712469e-5,5.346687974712469e-5
0.00016229538258471764,0.0001501912057964417,3.472424862216015e-5,3.472424862216015e-5
0.00011549942919321153,0.00012289332192983157,2.6826570569853192e-5,2.6826570569853192e-5
8.230966578743797e-5,7.917709550674846e-5,1.7835686070946298e-5,1.7835686070946298e-5
5.8727813109969894e-5,4.131685903104284e-5,9.658755203501283e-6,9.658755203501283e-6
4.194660485673248e-5,3.02344482115344e-5,5.667977964246991e-6,5.667977964246991e-6
2.998876028469989e-5,3.2155409011313804e-5,4.475389891388856e-6,4.475389891388856e-6
2.1457851304940747e-5,2.7760058486754582e-5,3.3070566383019424e-6,1.9185831934725856e-6
1.5365410962031708e-5,1.8243793153532952e-5,2.260470205867049e-6,1.1619390527234587e-6
1.101037535502819e-5,9.319450616071977e-6,1.8217380702200806e-6,1.0820653812111057e-6
7.894676249383998e-6,6.296337984615268e-6,1.6620974079704968e-6,1.0513819600905637e-6
5.6639407119436736e-6,6.866086591658933e-6,1.5194302041146642e-6,8.257112034381233e-7
