x1,x2,x3,x4
0.00631724674613233,0.00631724674613233,0.00631724674613233,0.00631724674613233
0.0009018021606478894,0.0018891792874990141,0.0018891792874990141,0.0018891792874990141
0.0013178613121314258,0.0008240125566346902,0.0007871292286347066,0.0007871292286347066
0.0014062087868613653,0.0012142190547376835,0.0012349771458327323,0.0012349771458327323
0.0012373403921539844,0.0013720110453235906,0.0013686926133957985,0.0013686926133957985
0.0010079458469867133,0.0013014563221110265,0.0012557790369256876,0.0012557790369256876
0.0007878436598744282,0.0011051157181504157,0.0010232381094835376,0.0010232381094835376
0.0006005156809039374,0.0008475190365847016,0.0007064940206695264,0.0007064940206695264
0.0004504562204831469,0.0005795713431205446,0.0004028585875876847,0.0004028585875876847
0.0003344064906042341,0.0003577189925248328,0.00022628213145195266,0.00022628213145195266
0.0002465798563573835,0.00021517837788035185,0.0001419757077979284,0.0001419757077979284
0.00018101713431672246,0.0001389270574147857,9.611336314004473e-5,9.611336314004473e-5
0.00013250480429687398,9.513280657167552e-5,6.444701793764216e-5,6.444701793764216e-5
9.681483114173132e-5,6.546008071902204e-5,4.202145798355733e-5,4.202145798355733e-5
7.065713998976534e-5,4.3893239329379124e-5,2.8168104403236025e-5,2.8168104403236025e-5
5.15331364962703e-5,3.1597668345070296e-5,1.9426342504509546e-5,1.9426342504509546e-5
3.7573695503352075e-5,2.4508847739958076e-5,1.2675432709918052e-5,1.2675432709918052e-5
2.739403150561061e-5,1.786936370776723e-5,7.666688743883182e-6,7.666688743883182e-6
1.9974706220611774e-5,1.1849899792901654e-5,4.856688087065465e-6,4.856688087065465e-6
1.45684365092428e-5,7.259521430344819e-6,3.3434756918763236e-6,3.3434756918763236e-6
1.0629011605504766e-5,5.176694083558621e-6,2.199244883546296e-6,2.199244883546296e-6
7.757953635831405e-6,4.03301764183166e-6,1.354320154649141e-6,1.354320154649141e-6
5.664916744294687e-6,2.594199713245228e-6,8.711549896399835e-7,8.711549896399835e-7
4.138497222178745e-6,1.3988400068767938e-6,6.007383653850207e-7,6.007383653850207e-7
3.0248242839674636e-6,9.766289554668077e-7,3.8502895801663396e-7,3.8502895801663396e-7
2.2119115090121525e-6,1.0238680706076363e-6,2.191682430558349e-7,2.191682430558349e-7
1.6182457855304478e-6,9.094320531203096e-7,1.2662986555207136e-7,1.0026231566340874e-7
1.1844791862401704e-6,6.10932342053261e-7,7.628149684096718e-8,7.387858994688533e-8
8.673858015556342e-7,3.3588749934600185e-7,4.2425568631314395e-8,6.512644635543264e-8
6.354683071970359e-7,2.3447155174786031e-7,2.1733058566855405e-8,5.28820506784673e-8
4.657644797292339e-7,2.4802329786641964e-7,1.100316430086797e-8,4.243686906808449e-8
3.415257814388423e-7,2.1414855309122094e-7,5.503419708707357e-9,3.2887300049318326e-8
2.5052946962724985e-7,1.3468376516966447e-7,3.3935206359649266e-9,2.4046144956386276e-8
1.838508936538537e-7,6.15430164889988e-8,2.396468388467244e-9,1.6396894321416678e-8
1.3497011395529152e-7,4.9182401928858105e-8,1.4038612382556683e-9,1.0774980180626306e-8
9.912147478763049e-8,5.8212387501147195e-8,7.14421262594341e-10,7.168413175252756e-9
7.281980517936066e-8,5.020416475438012e-8,4.787796208910732e-10,4.781177029355874e-9
5.35150915698914e-8,3.1831500763138387e-8,3.664279634922839e-10,3.1827427929578307e-9
3.93406450618981e-8,1.553627012628934e-8,2.2036486916706237e-10,2.0903825956741903e-9
2.8929347146100536e-8,1.2489132612646312e-8,1.1845583206310054e-10,1.554793782437188e-9
2.1279495576564776e-8,1.3980222008194364e-8,1.038143247849114e-10,1.1997266632801479e-9
1.565680852077671e-8,1.1924926387940771e-8,8.866609178365715e-11,8.76336484216487e-10
1.1522803100152969e-8,7.518324591704193e-9,5.393114352640327e-11,6.02734871326957e-10
