x1,x2,x3,x4
0.7893179166415224,0.7893179166415224,0.7893179166415224,0.7893179166415224
0.35080051341101964,0.2488876166333499,0.2488876166333499,0.2488876166333499
0.17840691137557177,0.19597036984301447,0.17721770189304478,0.17721770189304478
0.09937056704499612,0.1355605753999123,0.14019646957021734,0.14019646957021734
0.058656898620095106,0.09001533644608689,0.09943034460041784,0.09943034460041784
0.03597685210618464,0.055024175969733496,0.06113350771700609,0.06113350771700609
0.02266560960546415,0.03120646554079274,0.03300222939528279,0.03300222939528279
0.014564056550677773,0.017361373580200266,0.016942997485165045,0.016942997485165045
0.009500687515361548,0.010195118166030845,0.009782648930748018,0.009782648930748018
0.006271702396908762,0.006289979529638084,0.0062481985452165,0.0062481985452165
0.004179792473975992,0.003900037398738597,0.0037376240174502424,0.0037376240174502424
0.0028073484622750215,0.0024784599332564163,0.0020650788863009733,0.0020650788863009733
0.001897665062344691,0.0016662774955307998,0.0012309959486604576,0.0012309959486604576
0.0012896185465678211,0.0011350648093449895,0.000825862243034202,0.000825862243034202
0.0008803462081484648,0.0007460081136336605,0.0005231545040421758,0.0005231545040421758
0.0006032549433149674,0.00047724618036140183,0.0002936160627906475,0.0002936160627906475
0.0004147288651966529,0.0003088477449412024,0.00016805503720550847,0.00016805503720550847
0.00028592253396167336,0.00020371195326172623,0.00011205563128512628,0.00011205563128512628
0.00019760261584911114,0.00013435713103986252,7.278269269256541e-5,7.278269269256541e-5
0.00013685610542970772,8.913696629420174e-5,4.1774619342899025e-5,4.1774619342899025e-5
9.496244705520583e-5,6.062385225610985e-5,2.5450239676488937e-5,2.5450239676488937e-5
6.600284643002463e-5,4.1628404675013024e-5,1.8701037866776923e-5,1.8701037866776923e-5
4.594282538216169e-5,2.8049271256619246e-5,1.271824554077111e-5,1.271824554077111e-5
3.202211241190845e-5,1.856265272750698e-5,7.281726205123503e-6,7.281726205123503e-6
2.234612058833242e-5,1.2336824622644286e-5,4.2806119142641895e-6,4.2806119142641895e-6
1.561078751218684e-5,8.28489997923046e-6,3.2522549285847163e-6,3.2522549285847163e-6
1.0916295568995594e-5,5.556132665585363e-6,2.433322155687801e-6,1.813171978375476e-6
7.640405672856255e-6,3.7284391726970827e-6,1.7129191558315213e-6,1.0957515373999146e-6
5.351995795742908e-6,2.537533543344611e-6,1.3956113219748878e-6,8.233525629057356e-7
3.751844699224029e-6,1.7415935593131606e-6,1.3076891270384028e-6,7.475036177114047e-7
2.6319558754111173e-6,1.1825018425736906e-6,1.2405043951461028e-6,5.432308757700201e-7
1.847544160020417e-6,7.925209125980491e-7,1.1917543888262424e-6,3.347688369242774e-7
1.2976985566938588e-6,5.320360953779699e-7,1.1753506815464385e-6,2.0519967159039322e-7
9.120066945826562e-7,3.598420320913783e-7,1.1732121374778893e-6,1.4201564061992415e-7
6.412859664252383e-7,2.4316897270740444e-7,1.1723794681517496e-6,9.602210419496123e-8
4.511498890207236e-7,1.6410960660265368e-7,1.1715186824917822e-6,5.845955168137325e-8
3.175357934719459e-7,1.1171862152158481e-7,1.1711460986939752e-6,3.621024065616071e-8
2.235917428742139e-7,7.662446046237598e-8,1.1708960650924224e-6,2.680266312959543e-8
1.5750693343036064e-7,5.2230578061547595e-8,1.1705887897465504e-6,1.96431447661011e-8
1.1099795335668888e-7,3.524368429688347e-8,1.1703606740709576e-6,1.2734114015489567e-8
7.825156150445506e-8,2.3780160835394867e-8,1.1702815726391407e-6,7.926529855422439e-9
5.518561627053791e-8,1.6139734078412638e-8,1.1702979122126454e-6,5.4491135214195974e-9
3.8931968621570734e-8,1.0955342309762182e-8,1.1703411786533393e-6,3.888938777556964e-9
2.7474369134707882e-8,7.42203915875721e-9,1.1703749604592145e-6,2.5426912922532224e-9
1.9394733212490404e-8,5.054568314062945e-9,1.1703888082446215e-6,1.612187397310427e-9
1.3695215799516204e-8,3.4644969436790283e-9,1.1703865364334822e-6,1.1322339856787282e-9
9.673365876632193e-9,2.367029795943341e-9,1.170377481526973e-6,8.293507692612265e-10
6.834473276836424e-9,1.6043306500362996e-9,1.1703695046280082e-6,5.571528872366843e-10
4.829993491896505e-9,1.086008534901033e-9,1.1703658406396308e-6,3.560506678502926e-10
3.414269138430706e-9,7.384979369965042e-10,1.1703659204730616e-6,2.4086082393493836e-10
2.4140962594658358e-9,5.026691006626264e-10,1.1703676977912496e-6,1.7191183751840867e-10
1.7073131561024846e-9,3.4152075160099893e-10,1.170369424673709e-6,1.1554907887333678e-10
1.2077302043043193e-9,2.327150510852266e-10,1.1703703135658282e-6,7.457437547520314e-11
8.545182936056344e-10,1.5941502816765654e-10,1.1703703939212463e-6,5.100273599737457e-11
6.047337868385633e-10,1.0906505846404567e-10,1.170370063023577e-6,3.6958762590306933e-11
4.2805091826617665e-10,7.415496665366912e-11,1.1703697010729991e-6,2.529327013669868e-11
3.030484098037383e-10,5.0316868259619904e-11,1.170369498839853e-6,1.6458387321832754e-11
2.1459082290878446e-10,3.425710795824648e-11,1.1703694679552206e-6,1.1029195467539108e-11
1.5198129733342138e-10,2.3358830444949108e-11,1.1703695315389556e-6,7.820341776576998e-12
1.0765803232755606e-10,1.5904594028163022e-11,1.1703696086061058e-6,5.342754881430419e-12
7.627417943132505e-11,1.0844778429249829e-11,1.170369655131861e-6,3.5008508186615052e-12
5.40481819822276e-11,7.425464716178016e-12,1.1703696653569969e-6,2.362310491227799e-12
3.830494021047772e-11,5.084069076349375e-12,1.1703696540209229e-6,1.6895839796952303e-12
2.7151662910227234e-11,3.464629170890597e-12,1.1703696382722138e-6,1.1692189816509735e-12
1.9248810141145553e-11,2.355331643057591e-12,1.170369628128343e-6,7.720595522631782e-13
1.364819078608374e-11,1.6049287279302691e-12,1.1703696254926721e-6,5.152458250231597e-13
9.67849886568606e-12,1.095587557887182e-12,1.1703696276091021e-6,3.6200484291568767e-13
6.864369764863582e-12,7.471859610484223e-13,1.170369630904851e-6,2.497301881778981e-13
4.869127382342434e-12,5.098438794346959e-13,1.170369633158648e-6,1.657650486019922e-13
3.454279431306272e-12,3.4897765553133353e-13,1.170369633848007e-6,1.1122817748179045e-13
2.450855523142077e-12,2.390293874420203e-13,1.1703696334875027e-6,7.852579241404119e-14
1.7391213010764384e-12,1.6316312960707837e-13,1.1703696328212482e-6,5.4663811299871936e-14
1.2342180074237616e-12,1.1109726676703334e-13,1.1703696323390722e-6,3.6532181881538463e-14
8.759947427965641e-13,7.575428052103408e-14,1.170369632176528e-6,2.437584710533303e-14
6.218079826930057e-13,5.1751465302486804e-14,1.170369632240494e-6,1.696789076409141e-14
4.414215006644386e-13,3.5338881813923455e-14,1.1703696323779196e-6,1.1765253085581492e-14
