x1,x2,x3,x4
0.0055784534940471085,0.0055784534940471085,0.0055784534940471085,0.0055784534940471085
0.0007621631459343415,0.0014313133634936486,0.0014313133634936486,0.0014313133634936486
0.0012191671585396646,0.0009393525456772677,0.0007804001805321426,0.0007804001805321426
0.0010813723476219392,0.001270224522664145,0.0010774573983477257,0.0010774573983477257
0.0008512654519610459,0.0012233555184127558,0.001090060259625148,0.001090060259625148
0.0006443243774477045,0.0009615244500349236,0.000881569600030834,0.000881569600030834
0.00047729504277262017,0.0006808281320352487,0.0006234986070047422,0.0006234986070047422
0.00034860182625159533,0.00045618378973676343,0.0004047032714260138,0.0004047032714260138
0.00025218590302341504,0.00029006267003496463,0.00022252602436023848,0.00022252602436023848
0.00018125873098283552,0.00018501135841452704,0.00011940203382677343,0.00011940203382677343
0.00012971075640311872,0.00012633004567570412,8.233733927445043e-5,8.233733927445043e-5
9.25501209469445e-5,8.925499229553723e-5,5.6457684344145606e-5,5.6457684344145606e-5
6.590714171214453e-5,6.167494194382156e-5,3.457606562347021e-5,3.457606562347021e-5
4.687480127490038e-5,4.224770243869019e-5,2.1091158099248555e-5,2.1091158099248555e-5
3.3312115837139586e-5,2.9295259758638457e-5,1.412360218076799e-5,1.412360218076799e-5
2.3662508863793223e-5,2.0321532122334407e-5,1.0325087421937521e-5,1.0325087421937521e-5
1.6803923030795434e-5,1.3798527418044679e-5,7.0224752324967205e-6,7.0224752324967205e-6
1.1932104555118758e-5,9.270843280310343e-6,4.330887502730203e-6,4.330887502730203e-6
8.472752369825505e-6,6.350447968756668e-6,2.7914404425247048e-6,2.7914404425247048e-6
6.016777658761341e-6,4.408788226994285e-6,1.9988041648595886e-6,1.9988041648595886e-6
4.27323857908309e-6,3.0182869888576244e-6,1.3732485254323527e-6,1.3732485254323527e-6
3.035426145097875e-6,2.050724270797676e-6,8.079420802658328e-7,8.079420802658328e-7
2.1565672863122764e-6,1.4086560333268885e-6,4.950833983777373e-7,4.950833983777373e-7
1.5324831005587765e-6,9.727133121120104e-7,3.377985494878784e-7,3.377985494878784e-7
1.0892412162131746e-6,6.635226351085875e-7,2.3219154013683692e-7,2.3219154013683692e-7
7.743775888632713e-7,4.487974367064406e-7,1.3740738054985563e-7,1.3740738054985563e-7
5.50661927456312e-7,3.0704021450688787e-7,8.133732613881932e-8,7.207390904906265e-8
3.9167233242753496e-7,2.1219503444118698e-7,4.849822626316845e-8,5.008880090146505e-8
