x1,x2,x3,x4
0.9796354073745636,0.9796354073745636,0.9796354073745636,0.9796354073745636
0.4142718169309239,0.30521286520375185,0.30521286520375185,0.30521286520375185
0.20382023044178618,0.20832215641942253,0.2026077088441506,0.2026077088441506
0.11075310973559407,0.1518861765686333,0.15430388534277323,0.15430388534277323
0.06431961464011902,0.10497791437446914,0.1085125762257764,0.1085125762257764
0.039269153603209754,0.06779807331230102,0.06773484893481935,0.06773484893481935
0.024958912199249207,0.041185156243225864,0.03819924811188237,0.03819924811188237
0.01638768200747053,0.024088203021508138,0.020892863855039193,0.020892863855039193
0.011039762557288025,0.014425027384978431,0.012264340792645744,0.012264340792645744
0.007585200935480234,0.009511911235137472,0.007689030853499387,0.007689030853499387
0.005289474893329918,0.006709757435353861,0.004774334234807889,0.004774334234807889
0.0037293952348935967,0.004581414423594457,0.0029404685554159393,0.0029404685554159393
0.002650960782540902,0.002853419584847072,0.001872471565701716,0.001872471565701716
0.0018958369932025822,0.0016597961142929482,0.0012017478705721233,0.0012017478705721233
0.0013620050285138613,0.0010624004802538918,0.0007404472599932594,0.0007404472599932594
0.0009819024410063924,0.0008126114789998608,0.00044890761121009286,0.00044890761121009286
0.0007097958758780109,0.000605855698879275,0.00028554250585451026,0.00028554250585451026
0.0005141983598525174,0.00038731260591420976,0.00018596639545011788,0.00018596639545011788
0.0003731487760469107,0.0002265467290516131,0.00011716106278262067,0.00011716106278262067
0.0002711787587820682,0.00017519376067048222,7.458204594581212e-5,7.458204594581212e-5
0.0001973115620690237,0.00016558582274484667,5.109305780200637e-5,5.109305780200637e-5
0.00014371327178642386,0.00013538877716805426,3.483194087435677e-5,3.483194087435677e-5
0.00010476826803767234,8.87615033849617e-5,2.1675183176642503e-5,2.1675183176642503e-5
7.643715205797926e-5,4.694266020406444e-5,1.289638776715252e-5,1.289638776715252e-5
5.5806318000980746e-5,2.858042324363991e-5,8.438769186972731e-6,8.438769186972731e-6
4.076949881983561e-5,2.805357535436116e-5,5.8455732755800136e-6,5.8455732755800136e-6
2.9801255144325157e-5,2.466876032245407e-5,3.80189159803792e-6,2.1286852182927507e-6
2.1795098773447375e-5,1.6667152032139192e-5,2.529559203049501e-6,1.628874578710621e-6
1.594737363361026e-5,8.769830560785036e-6,2.029005643945817e-6,1.3928094726982773e-6
1.167370911303566e-5,5.7896168217168604e-6,1.7767683057737527e-6,1.1329158821727983e-6
8.548761227642858e-6,6.305241840656433e-6,1.5832865274412481e-6,8.205238744139356e-7
6.262661799556965e-6,5.752601463589264e-6,1.4890216443632518e-6,5.43036625120301e-7
4.589488970000966e-6,3.99811850677004e-6,1.4622201810949645e-6,3.881162562150551e-7
3.3644072745593656e-6,2.0969663375546746e-6,1.448249672980162e-6,3.29158936458998e-7
2.467072321125701e-6,1.1192767432305e-6,1.4349642151771736e-6,2.7491655487860993e-7
1.8095698130984384e-6,1.2022262977806754e-6,1.427020395035614e-6,1.9992327715995932e-7
1.3276412799090564e-6,1.1670462934890755e-6,1.4244423160484232e-6,1.2397651372290263e-7
9.742951695274735e-7,8.434060880495177e-7,1.4244605749637012e-6,7.052457635458096e-8
7.151510713519416e-7,4.529991291547107e-7,1.425357828797823e-6,4.7452457540615295e-8
5.250444318579781e-7,2.415856966102195e-7,1.4263353797142469e-6,3.7861301220530544e-8
3.8554883966668045e-7,2.645746061888084e-7,1.4269299166564359e-6,2.699947896512511e-8
2.8316679453261154e-7,2.6370221981126467e-7,1.4270351771084275e-6,1.5705891881623506e-8
2.0800785402978646e-7,1.955598981780758e-7,1.4268408083898588e-6,9.626181889613551e-9
1.5282235936599994e-7,1.0725958499998515e-7,1.426592648992616e-6,9.466604433482456e-9
1.1229474601909624e-7,5.1737736501643793e-8,1.4264337197535972e-6,9.053680163588742e-9
8.252646989241044e-8,5.393540960327636e-8,1.4263901793434942e-6,6.89439823966679e-9
6.065751370433566e-8,5.635264586396394e-8,1.4264223282229049e-6,4.136606665954495e-9
4.458922491009763e-8,4.3236407173520316e-8,1.4264766436903205e-6,2.0842658888398022e-9
3.278128267623013e-8,2.4384904533635907e-8,1.426516791844463e-6,1.4947065288227515e-9
2.4102917229768693e-8,1.1602998725211146e-8,1.4265315921208547e-6,1.4426868981651986e-9
1.7723850431061935e-8,1.1717650420546465e-8,1.4265274455317888e-6,1.1206787666790607e-9
1.303432932456391e-8,1.2546768148576362e-8,1.4265162951047415e-6,6.457089939409643e-10
9.586475629467252e-9,9.854867352464708e-9,1.4265071307189908e-6,3.1126134538808695e-10
7.0512581222019025e-9,5.681823071598912e-9,1.4265032927022512e-6,3.099935144754154e-10
5.186918820209478e-9,2.6152218835425355e-9,1.4265038434872552e-6,3.3816689152575034e-10
3.815798801788646e-9,2.4875783893763437e-9,1.4265062433734904e-6,2.747459015660447e-10
2.807325517698883e-9,2.750863127136349e-9,1.4265083929693686e-6,1.6827330679183282e-10
2.065520935071443e-9,2.2168888863541402e-9,1.4265094050194275e-6,7.966722331822595e-11
1.5198274884300324e-9,1.3075038789740094e-9,1.4265093969899613e-6,5.651612299760449e-11
1.118369471948751e-9,5.994974855331812e-10,1.4265089112544979e-6,6.186938092328833e-11
8.230025325263843e-10,5.429914495190362e-10,1.426508433884009e-6,5.205800702680149e-11
6.056762351273165e-10,6.123520830856087e-10,1.4265081913820173e-6,3.219379582393346e-11
4.4576103961912427e-10,5.031001273557816e-10,1.4265081780375075e-6,1.4979943401425374e-11
3.280837264092679e-10,3.022291131549828e-10,1.4265082804711553e-6,1.1828692576559922e-11
2.4148332411397237e-10,1.3809870079576429e-10,1.4265083887776645e-6,1.3803986914810185e-11
1.7774950963640754e-10,1.1870030251780777e-10,1.4265084477824514e-6,1.1983061028845704e-11
1.3084209323482732e-10,1.3630474249402736e-10,1.4265084550258016e-6,7.738327634724446e-12
9.631710412891575e-11,1.1397936652717709e-10,1.4265084343248728e-6,3.732959936139259e-12
7.090474825300031e-11,6.961788496886044e-11,1.4265084104778992e-6,2.375765660363221e-12
5.219902008862309e-11,3.1972560797653604e-11,1.4265083967515516e-6,2.7330650162775106e-12
3.8429409714934625e-11,2.6302021485487057e-11,1.4265083945138443e-6,2.4605083572871052e-12
2.8292977652805524e-11,3.0529256943747545e-11,1.426508398825717e-6,1.6350290930286018e-12
2.083082471932814e-11,2.5878855895643893e-11,1.4265084041561948e-6,8.039535524236227e-13
1.5337213327530224e-11,1.6023161734633286e-11,1.4265084073832372e-6,5.043110755112187e-13
1.1292705156981614e-11,7.414857978530267e-12,1.4265084080473466e-6,5.921160338330624e-13
8.31496519171026e-12,5.88096244216598e-12,1.4265084071767111e-6,5.482737285893628e-13
6.122562073200706e-12,6.8667831659749286e-12,1.4265084060052656e-6,3.7660046070332155e-13
4.508329906733603e-12,5.8827570039370705e-12,1.4265084052638543e-6,1.917312058199657e-13
3.3197649565981104e-12,3.6833615644213615e-12,1.4265084050887683e-6,1.072283868863131e-13
2.444598624102487e-12,1.720043271633663e-12,1.4265084052680304e-6,1.2219731402868908e-13
1.8001793798738285e-12,1.3249979015880534e-12,1.4265084055280167e-6,1.1699685217095716e-13
1.3256576526064436e-12,1.5496426743564664e-12,1.426508405699481e-6,8.283158096593555e-14
9.762335020516098e-13,1.3379196606878763e-12,1.4265084057453527e-6,4.332278507551632e-14
7.189224231643406e-13,8.45272356079092e-13,1.426508405709374e-6,2.327912205329864e-14
5.294384995840679e-13,3.988927875841508e-13,1.4265084056522564e-6,2.6223282712330988e-14
3.898999678653273e-13,3.011339081325242e-13,1.4265084056130955e-6,2.5801078669134756e-14
2.871401250769812e-13,3.5121081133131187e-13,1.4265084056016298e-6,1.878130685813534e-14
2.1146383493939076e-13,3.0465528426648095e-13,1.4265084056089196e-6,1.0107807005107508e-14
1.5573204544240053e-13,1.937291710554479e-13,1.4265084056215425e-6,5.13224163894742e-15
1.1468777566263626e-13,9.22696903322623e-14,1.4265084056305202e-6,5.552116940019253e-15
8.445986802645509e-14,6.87167594786664e-14,1.426508405633377e-6,5.6193751045745826e-15
6.21976073482099e-14,7.981008874720154e-14,1.4265084056319358e-6,4.1983710680304425e-15
4.580169571921269e-14,6.944337317445967e-14,1.4265084056291646e-6,2.314799508428976e-15
3.3726159778127735e-14,4.441445870944346e-14,1.4265084056271209e-6,1.141957244114524e-15
2.4832491809769256e-14,2.141909484980265e-14,1.426508405626425e-6,1.1969219388116276e-15
1.8282246138381694e-14,1.580834306771448e-14,1.4265084056267098e-6,1.2406295111675663e-15
1.3457947738092327e-14,1.816524303760663e-14,1.42650840562732e-6,9.481897795509204e-16
9.904855940829492e-15,1.5780993059272072e-14,1.426508405627786e-6,5.346778036706586e-16
7.288077829406704e-15,1.00847511033931e-14,1.4265084056279548e-6,2.576683790377387e-16
5.3609892887317464e-15,4.855308621260055e-15,1.4265084056279004e-6,2.5861025163554007e-16
3.941978433301155e-15,3.610461394022406e-15,1.4265084056277663e-6,2.737617702205727e-16
