Iteration,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8
0,99.99999990024922,99.999999856199,99.9999991470272,99.99999959054236,99.99999886801756,99.99999875651972,99.99999952362688,99.9999991742464
1,76.65317086375445,76.65246246872147,76.65189536238708,76.65189911158554,76.65165337526038,76.65168865933715,76.65104380127394,76.65081457741088
2,62.35091020044683,62.35195569307975,62.34986500532814,62.34969357682111,62.349167766656215,62.349214150992246,62.34895189806232,62.348928590867786
3,50.83585964510725,50.834693500336726,50.83384978649137,50.83361738891426,50.83287577642387,50.832894346923815,50.832874448362205,50.8328690336896
4,40.971105745027145,40.96823950783367,40.97073073540736,40.96995263937524,40.9681822442558,40.97060659435069,40.97004664432623,40.96704253131524
5,32.9055574210586,32.903571124119004,32.9028930250478,32.90227813499232,32.90044468672441,32.89989835838655,32.89931301284133,32.903059257645246
6,26.66525143889383,26.66705955765256,26.67144323274779,26.664549439914296,26.6640618208707,26.66380970588365,26.666815600245062,26.66488114760489
7,22.08903807458792,22.089084407228498,22.08915196084029,22.08825740969347,22.08774651769913,22.088070747312035,22.09125310792493,22.088637720453416
8,18.88850469400684,18.887417465313494,18.88734955886648,18.88732437928087,18.88719805946104,18.88906769739132,18.88964947806537,18.889696080462983
9,16.61470877784502,16.614195435134047,16.61388520270245,16.6136549843665,16.615060992952856,16.614173797327442,16.61344713926316,16.615648169150912
