Iteration,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8
0,99.99999980048634,99.99999992466452,99.9999987756025,99.99999888144706,99.9999998918086,99.99999902830456,99.99999704768716,99.99999932166892
1,80.86630821878217,80.86592375224167,80.86586558251415,80.86581771766365,80.86583011554997,80.86583518185074,80.86575634659388,80.86567674049216
2,67.49517156352155,67.49553522972013,67.49457435627767,67.49445924243615,67.49437589039994,67.49403404612057,67.4942069432599,67.49417987489898
3,56.15114286418309,56.15100958908609,56.148972585056505,56.14920907418318,56.14837950466813,56.14814102243113,56.14849993800408,56.14825317255284
4,46.38006707233463,46.37727751874853,46.37766049044885,46.37721062879705,46.3762295495312,46.37653148913738,46.375940128633616,46.37643321245425
5,38.317522549690985,38.31609665536718,38.31599767354223,38.31488815220008,38.31424258981824,38.31422809969178,38.31383714200221,38.31361848422834
6,31.960961093239018,31.960333918266127,31.959929230922903,31.959696102053403,31.959739007013766,31.95970863813472,31.95983744366763,31.95992286188948
7,27.05600375537556,27.055568514036388,27.05496477506751,27.05501989479856,27.05507316787677,27.054874718474093,27.054733935298337,27.05493974868041
8,23.26197293818049,23.260704859735046,23.26101803411253,23.260612199149207,23.260455834141204,23.260502990119424,23.260203764276824,23.26015554181327
9,20.316174737630917,20.315632672061422,20.315293573734653,20.3150138812995,20.31485511626221,20.314868061218085,20.314849127751778,20.31479086757996
