Iteration,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8
0,99.99999980048634,99.99999992466452,99.9999987756025,99.99999888144706,99.9999998918086,99.99999902830456,99.99999704768716,99.99999932166892
1,80.86630821878217,80.86592375224167,80.86586558251415,80.86581771766365,80.86583011554997,80.86583518185074,80.86575634659388,80.86567674049216
2,67.49441186565113,67.49345796791233,67.49384119661056,67.4935222755241,67.49345369453,67.49311568364307,67.4931820219632,67.49324889863506
3,56.74559952762303,57.351559551057846,57.45000311048513,57.50493635559091,57.54177299406287,57.56760463619065,57.58704940298552,57.60162069518319
4,47.8278368193473,49.07819405339718,49.34985799872488,49.5074737531252,49.61147011450073,49.68535449969734,49.74148111473192,49.78532135179966
5,40.4140338529227,42.17029373320767,42.6567576521028,42.94883665791976,43.14597601278285,43.28933646387576,43.39832809082704,43.48439339464133
6,34.282822179255675,36.35064715651409,37.06697621650184,37.51420985894424,37.81668340799493,38.034971904495634,38.201476289202496,38.33308689480013
7,29.22036822101518,31.41970574478095,32.35796676560307,32.94476046007618,33.34640608548318,33.63914724469777,33.86169992375887,34.03813495550138
8,24.98257486681545,27.20970582995817,28.32806343897909,29.04584680707784,29.54269917728658,29.904525093612165,30.18209159586005,30.40321918801501
9,21.477249048468128,23.5967784072233,24.84620150877985,25.676208422962343,26.255691702828997,26.68430663719695,27.016402734864755,27.28113008562465
